10_3,Gini-Koeffizient zur Einkommensverteilung,,,,,,,,,,,,,,,,,,
Zurück zum Inhalt,,,,,,,,,,,,,,,,,,,
Land,Gini-Koeffizient zur Einkommensverteilung,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 1),2021,2022,2023 2)
Baden-Württemberg,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
Bayern,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.30,0.30,0.30
Berlin,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.29,0.30,0.29,0.30,0.30,0.30,0.30,0.30,0.32,0.32,0.31,0.32
Brandenburg,0.27,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.28,0.28,0.27,0.27
Bremen,0.30,0.29,0.29,0.29,0.30,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.33,0.31,0.31
Hamburg,0.32,0.31,0.32,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.33,0.33,0.32
Hessen,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.31,0.31,0.30,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.31,0.32
Mecklenburg-Vorpommern,0.26,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.26
Niedersachsen,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.30,0.30,0.29
Nordrhein-Westfalen,0.29,0.29,0.29,0.29,0.29,0.29,0.30,0.29,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.32,0.32,0.31
Rheinland-Pfalz,0.29,0.28,0.28,0.29,0.29,0.30,0.29,0.29,0.30,0.29,0.29,0.29,0.30,0.29,0.29,0.29,0.29,0.30,0.29
Saarland,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.28,0.29,0.28,0.29,0.29,0.29
Sachsen,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25
Sachsen-Anhalt,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.26
